OrderID;ProductID;ProductCount;ProductPrice
1;1;1;18500,30
1;2;1;60000,00
2;5;1;13550,99
3;7;1;7000,00
3;8;1;77000,11
3;9;1;30000,00
4;7;1;7000,00
4;11;1;17550,00
5;3;1;44000,66
6;1;1;18500,30
6;2;1;60000,00
6;3;1;44000,66
101;121;1;44394,90
101;140;1;51056,53
102;132;1;71583,50
103;127;1;141036,96
104;110;1;36136,38
104;129;1;79284,15
105;132;1;93933,26
106;108;1;12997,54
107;123;1;49508,48
107;137;1;53145,61
108;107;1;10771,12
108;129;1;62862,32
108;158;1;103154,89
108;159;1;106587,08
109;136;1;115787,29
109;150;1;56818,03
110;131;1;136475,90
110;140;1;130274,53
111;103;1;128454,96
111;118;1;141035,48
111;133;1;46515,42
111;157;1;57265,00
112;102;1;136321,86
112;119;1;18519,35
113;111;1;89806,77
114;102;1;90082,02
114;106;1;41593,95
114;152;1;73705,27
115;109;1;117539,51
115;114;1;33309,05
115;116;1;91935,94
115;144;1;54732,49
116;107;1;81998,62
116;130;1;27666,78
116;148;1;14886,72
117;110;1;130630,99
117;123;1;84581,28
118;104;1;64231,59
118;121;1;34477,05
119;103;1;114540,46
119;141;1;42420,45
119;144;1;98477,13
120;150;1;83325,51
121;132;1;43189,66
121;137;1;120663,25
121;152;1;104148,79
122;135;1;136651,93
123;119;1;102481,80
123;126;1;15715,31
123;128;1;130206,14
123;130;1;26834,25
124;151;1;115349,60
125;115;1;81176,15
125;137;1;38375,33
125;157;1;99408,62
126;111;1;16869,21
126;119;1;71260,18
126;127;1;77651,59
126;148;1;17151,82
127;101;1;108116,28
127;110;1;118270,11
127;127;1;22057,23
127;141;1;104323,85
128;114;1;31443,11
128;116;1;30309,38
128;129;1;127508,72
128;138;1;44832,96
129;102;1;148499,83
129;105;1;41998,98
129;146;1;33734,84
129;155;1;15819,79
130;112;1;80999,25
130;129;1;130552,31
130;135;1;82763,23
131;109;1;11637,14
131;142;1;113823,60
131;154;1;66564,14
131;156;1;60421,08
132;122;1;26143,32
132;133;1;53770,06
132;144;1;7611,52
132;149;1;119948,54
133;112;1;85172,37
133;147;1;135229,58
133;155;1;66265,02
134;140;1;93974,38
135;106;1;125849,38
135;150;1;122533,64
135;154;1;125979,36
135;158;1;33202,59
136;141;1;128850,35
136;160;1;142656,98
137;116;1;75482,13
137;153;1;105017,43
138;124;1;98205,87
138;137;1;89542,44
139;148;1;17967,33
140;102;1;12489,91
140;112;1;53650,71
141;107;1;44673,34
141;116;1;67806,14
141;121;1;121284,05
142;101;1;49400,86
142;114;1;15877,33
142;127;1;98750,61
142;142;1;105698,78
143;135;1;138578,84
144;116;1;132234,22
145;119;1;69328,62
146;136;1;29886,97
146;153;1;124112,46
147;125;1;76285,34
147;149;1;60110,97
147;154;1;135795,49
148;111;1;104695,47
148;120;1;55290,10
148;148;1;7555,85
148;150;1;64800,50
149;109;1;62560,82
149;146;1;102288,72
150;104;1;31703,89
150;121;1;66314,98
150;126;1;74686,38
151;117;1;131003,40
151;159;1;19336,24
152;148;1;108931,27
152;152;1;137004,53
153;103;1;100012,30
153;107;1;65572,17
153;128;1;29845,28
153;156;1;88262,36
154;131;1;96211,37
154;141;1;10624,34
154;146;1;62794,91
154;148;1;18387,86
155;124;1;122283,34
155;137;1;53877,37
156;106;1;18408,12
156;118;1;108383,48
156;144;1;136733,98
156;151;1;56131,95
157;120;1;27075,77
157;121;1;140722,11
157;135;1;5296,44
157;155;1;109512,19
158;130;1;143424,51
158;153;1;90526,88
158;159;1;109487,06
159;104;1;84547,97
159;111;1;105882,83
160;113;1;108969,40
160;119;1;16302,93
160;129;1;89560,14
161;1;1;18500,30
